id,name,price,original_price,discount,rating_average,review_count,brand,category
46327991,"Hộp Nhựa Đựng Thực Phẩm Trong Suốt GAGI Mã GH01 Nhựa PP Bền Bỉ, Sử Dụng Cho Cả Lò Vi Sóng Không Bám Mùi Dễ Dàng Vệ Sinh - Hàng Chính Hãng",47000,79000,32000,4.6,184,OEM,
17423771,"5 Viên Pin CR2032 3V Panasonic Lithium thay pin Smartkey , Cmos , Pin thay Airtag - Hàng chính hãng",72000,72000,0,4.1,10,Panasonic,
8282408,Ổ Cắm Điện Huntkey SZM401 Power Strip,109002,109002,0,4.5,2,Huntkey,
6652303,"Mền tuyết NIN HOUSE 100% Microfiber 1m3x2m mới 2024, chăn hè cao cấp mịn màng, chăn lông tuyết nhung nhiều màu",219000,219000,0,4.6,19,Nin House,
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,140000,140000,0,5.0,317,Energizer,
277451259,Chai Xịt Đuổi Chuột RAT OFF ANTI RAT SPRAY 200ml Thái Lan,92820,150000,57180,0.0,0,PaKaSa,
276965213,Chảo Inox liền khối Sunhouse Healthy IN20M7E - IN24M7E - IN26M7E - Dùng cho mọi loại bếp,242000,320000,78000,0.0,0,Sunhouse,
276847009,"Vỉ 10 Đôi Đũa Kháng Khuẩn 3 Sọc , Hàng Chuẩn Xuất Nhật , Thiết Kế Chống Trượt Được Sử Dụng Phổ Biến Rộng Rãi Ở Nhà Hàng , Khách Sạn , Trong Gia Đình - Hàng cao cấp",39000,78000,39000,0.0,0,PaKaSa,
276604469,Nhiệt Kế Đo Nhiệt Độ Sữa và Đồ Ăn Cho Bé Nhiệt kế đo thực phẩm,100000,100000,0,0.0,0,LuckyJQR,
276504239,"Đèn Led Trang Trí Tết, Giáng Sinh, Noel Nhiều Kiểu Dáng Dài 10 Mét",123500,130000,6500,1.0,1,NAVIVU,
276452619,Màng co bọc thực phẩm cao cấp - PE Shinsen Inochi - bảo quản thực phẩm tươi sạch nhiều size ( tặng kèm khăn lau đa năng),89000,145000,56000,0.0,0,Inochi,
276451620,"Combo 3 Đèn LED Gắn Tủ , Trang Trí Tủ Phòng Ngủ , Phòng Khách Có Chức Năng Hẹn Giờ - Hàng Chính Hãng",116620,180000,63380,4.5,2,PaKaSa,
276109412,Ổ cắm điện Philips 8 lỗ 2 chấu CHP2180WB/74 (2500W) - 3m,207000,235000,28000,4.5,2,Philips,
275858428,Bộ Hộp Kim Chỉ May Vá Đa Năng 2 Tầng 20 Chi Tiết Tiện Lợi Khâu Vá Quần Áo,69000,95000,26000,4.0,1,PEAFLO,
275405718,Gương Dán Tường Tai Mèo Xoay 14.5 cm PaKaSa - Hàng chính hãng,69000,138000,69000,5.0,1,PaKaSa,
275079966,Đũa - Combo 30 đôi đũa khảm vàng - Đũa ăn viền vàng - đũa ăn cơm - đũa ăn đen viền vàng - Hàng chính hãng,81000,81000,0,0.0,0,Gro-Fa,
274962328,Xô Đựng Nước Gấp Gọn Đa Năng Có Bánh Xe Chậu Gấp Gọn Tiện Lợi Giặt Cây Lau Nhà Chùi Kính Dung Tích 12L,95000,145000,50000,0.0,0,PEAFLO,
274645566,"Hộp đựng thực phẩm Hokori - Hàng nhựa Việt Nhật có khóa thoát khí, có lỗ thoát nước ",75000,120000,45000,5.0,1,Hokori,
274597284,Hộp Nhựa Chia Thuốc 7 Ngăn - Giao Màu Ngẫu Nhiên,19000,38000,19000,4.1,14,PaKaSa,
274580036,"Hộp Đựng Đũa Thìa Dán Tường HOKORI, Bốn Ngăn Tiện Dụng Có Nắp Đậy, Dán Tường Siêu Chắc Chắn - Hàng Việt Nam",189000,378000,189000,5.0,5,Hokori,
274415047,"Đèn pin laser 303 siêu sáng gồm pin, sạc và khóa - Đèn lazer 303 tia Xanh lá - Hàng chính hãng",159000,159000,0,4.8,4,TiMa.lala,
273979410,Tấm Chắn Văng Dầu Mỡ Cho Nhà Bếp - Hàng chính hãng ,29000,58000,29000,5.0,2,PaKaSa,
272400903,Hộp cơm giữ nhiệt inox 304 Elmich EL8303 dung tích 2L - Hàng chính hãng,837000,1699000,862000,5.0,10,Elmich,
271064572,Bình nước Detox Moriitalia 67972002,362000,527000,165000,0.0,0,Moriitalia,
249694552,"Bình xịt nước tưới cây, tạo mẫu tóc FuNu cao cấp - Hàng chính hãng, giao màu ngẫu nhiên",42750,45000,2250,4.3,6,FuNu,
249153233,Hộp Thủy Tinh Chịu Nhiệt Lock&Lock LCB425,136000,211000,75000,5.0,21,LocknLock,
207005253,Bộ 2 Dây Phơi Quần Áo Thông Minh 5M GroFa Giao màu ngẫu nhiên ,29000,29000,0,0.0,0,Gro-Fa,
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,438000,736000,298000,5.0,406,LocknLock,
186288399,Lược Bướm Thép Tập Quay CSGO Dùng Tập Luyện - Mô Hình Butterfly CSGO – Lược Butterfly,59000,59000,0,5.0,13,OEM,
177081696,Cây Sứ Thái Kép Hoa Tím - cây cảnh để trong nhà + tặng phân bón cho cây,65000,110000,45000,4.5,36,OEM,
173085730,"Pin CR2 Lithium 3V Energizer dùng cho máy ảnh , máy đo khoảng cách - hàng chính hãng",105000,105000,0,5.0,3,Energizer,
168247093,Kéo Cắt Đa năng Hàn Quốc P300 HWA SHIN,193000,193000,0,5.0,8,HwaShin,
148810239,"Hộp Cơm Cắm Điện Đời Mới Chính Hãng MINIIN, Hâm Nóng, Giữ Nhiệt, Nấu Chín Cơm Và Thức Ăn, 2 Tầng Nhỏ Gọn, 4 Bát Innox Không Gỉ, Tặng Kèm Bộ Đũa Và Thìa, Đa Chức Năng, Dễ Dàng Vệ Sinh",259000,259000,0,4.5,55,MINIIN,
141971329,"Túi Đựng Hộp Cơm Grepaco Giữ Nhiệt Nóng Lạnh Dạng Đứng Có Ngăn Phụ Đựng Đồ Thức Ăn Văn Phòng, Du Lịch – Vải Bố Canvas, Kích Thước Size Vừa, Kiểu Giỏ Xách Thời Trang Nam Nữ - Tặng Túi Đựng Muỗng Nĩa - Hàng Chính Hãng",69000,69000,0,4.8,91,GREPACO,
134360863,"Vỉ 6 Viên Pin AA , Pin AAA Energizer Max 1,5V Alkaline - Hàng chính hãng",90000,90000,0,4.8,139,Energizer,
120552065,Bình giữ nhiệt inox 304 Elmich EL-8013OL dung tích 480ml,143000,389000,246000,4.8,309,Elmich,
84886093,Vợt muỗi thông minh 3in1 SUNHOUSE SHE-PRO11.W,229000,344000,115000,4.5,188,Sunhouse,
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,297000,406000,109000,4.5,692,Sunhouse,
71342375,"Áo Mưa Bít Trẻ Em Vải Dù Siêu Dày Hàng Việt Nam, Chống Thấm Nước, Phơi Mau Khô Ráo, Che Kín Người An Toàn Cho Bé, Có Lựa Chon Size, Giới Tính Cho Bé ( Giao Màu - Mẫu Ngẫu Nhiên Vì Nhiều Hoạt Tiết)",90000,90000,0,4.5,52,XUDI,
67980198,"Phân bón hữu cơ sinh học KingCrop, dùng trồng rau, cây ăn trái sạch, an toàn",70000,70000,0,5.0,7,KINGCROP,
67937873,Tấm bảo vệ nệm Everon White,370000,370000,0,4.7,121,Everon,
59412424,"Bộ Dụng Cụ Bếp (Đũa, Sạn, Vá) Bằng Gỗ Nhãn Tự Nhiên - VAGOO - Làm Thủ Công Chống Thấm, Chống Ẩm Mốc, An Toàn Sức Khoẻ",169000,169000,0,5.0,28,Vagoo,
54682452,Pin vuông 9V Energizer 522 ALKALINE chính hãng ( Mẫu mới ),75000,75000,0,4.8,75,Energizer,
52301339,"Móc Dán Tường Inox SUS304 treo đồ gia đình phòng ăn, nhà bếp, nhà tắm tiện lợi",42750,45000,2250,4.7,3,OEM,
35912717,Cân Tiểu Ly Điện Tử Platform 1 Kg Cao Cấp ,135000,135000,0,4.3,7,OEM,
277571452,Tranh thế giới,139000,139000,0,5.0,3,PROLEA PL,
277369298,"Đèn Bắt Muỗi Tự Động - Máy Bắt Muỗi Thông Minh, Hút Côn Trùng, Công Nghệ Đèn LED, Kiêm Đèn Ngủ Sạc USB - HÀNG CHÍNH HÃNG MINIIN",129000,129000,0,5.0,1,MINIIN,
276801072,Áo Mưa Royal Helmet - Áo Mưa Cánh Dơi có nón,99000,99000,0,0.0,0,Royal helmet,
